"","ID_CEPESP","ANO_ELEICAO","SIGLA_UE","UF","NUMERO_CANDIDATO","CODIGO_CARGO","NOME_CANDIDATO","DESC_SIT_TOT_TURNO","NUMERO_PARTIDO","NOME_PARTIDO","SIGLA_PARTIDO","TIPO_LEGENDA","COMPOSICAO_LEGENDA","SEQUENCIA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","IDENTIFICADOR_LEGENDA","COLIGACAO","ID_LEGENDA","NUM_PARTIDOS_COLIGACAO","TOTAL_VOTOS_LEGENDA","TOTAL_VOTOS_NOMINAIS","TOTAL_VOTOS_LEGENDA_PARTIDO_ISOLADO","TOTAL_VOTOS_PARTIDO","TOTAL_NOMINAIS_LEGENDA","TOTAL_VOTOS_LISTA","RANK_LISTA","RANK_PARTIDO","DISTANCIA_PARA_ULTIMO_ELEITO_EM_VOTOS","ULTIMO_ELEITO","DISTANCIA_ABSOLUTA_PARA_ULTIMO_ELEITO_EM_VOTOS","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM","SHARE_CANDIDATO_LISTA"
"1","0000565","1998","AC","AC","1313","06","MARCOS AFONSO PONTES DE SOUZA","ELEITO","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","FRENTE POPULAR DO ACRE",1,"065",9,17237,21556,0,39090,59112,76349,1,1,-13925,0,13925,NA,28.23
"2","0000629","1998","AC","AC","1234","06","SÉRGIO SEBASTIÃO DE BARROS","ELEITO","12","PARTIDO DEMOCRÁTICO TRABALHISTA","PDT","COLIGAÇÃO","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","FRENTE POPULAR DO ACRE",1,"065",9,17237,7969,0,7969,59112,76349,2,1,-338,0,338,-13587,10.44
"3","0000695","1998","AC","AC","1311","06","NILSON MOURA LEITE MOURAO","MÉDIA","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","FRENTE POPULAR DO ACRE",1,"065",9,17237,7631,0,39090,59112,76349,3,2,0,1,0,-338,9.99
"4","0000571","1998","AC","AC","4545","06","NORMANDO RODRIGUES SALES","SUPLENTE","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","COLIGAÇÃO","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","FRENTE POPULAR DO ACRE",1,"065",9,17237,5968,0,9348,59112,76349,4,1,1663,0,1663,-1663,7.82
"5","0000702","1998","AC","AC","1300","06","JOAO ANTONIO RODRIGUES BRONZEADO","SUPLENTE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","FRENTE POPULAR DO ACRE",1,"065",9,17237,5690,0,39090,59112,76349,5,3,1941,0,1941,-278,7.45
"6","0000657","1998","AC","AC","1312","06","TÁCIO DE BRITO","SUPLENTE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","FRENTE POPULAR DO ACRE",1,"065",9,17237,4197,0,39090,59112,76349,6,4,3434,0,3434,-1493,5.5
"7","0000529","1998","AC","AC","4555","06","NILSON DIAS BARBOSA","SUPLENTE","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","COLIGAÇÃO","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","FRENTE POPULAR DO ACRE",1,"065",9,17237,2016,0,9348,59112,76349,7,2,5615,0,5615,-2181,2.64
"8","0000503","1998","AC","AC","6565","06","MÁRCIO JOSÉ BATISTA","SUPLENTE","65","PARTIDO COMUNISTA DO BRASIL","PC DO B","COLIGAÇÃO","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","FRENTE POPULAR DO ACRE",1,"065",9,17237,1477,0,1477,59112,76349,8,1,6154,0,6154,-539,1.93
"9","0000597","1998","AC","AC","4040","06","JAIRON ALCIR SANTOS DO NASCIMENTO","SUPLENTE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","FRENTE POPULAR DO ACRE",1,"065",9,17237,567,0,567,59112,76349,9,1,7064,0,7064,-910,0.74
"10","0000636","1998","AC","AC","4567","06","JOSÉ BATISTA DE MACEDO","SUPLENTE","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","COLIGAÇÃO","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","FRENTE POPULAR DO ACRE",1,"065",9,17237,470,0,9348,59112,76349,10,3,7161,0,7161,-97,0.62
