"","ID_CEPESP","ANO_ELEICAO","SIGLA_UE","UF","NUMERO_CANDIDATO","CODIGO_CARGO","NOME_CANDIDATO","DESC_SIT_TOT_TURNO","NUMERO_PARTIDO","NOME_PARTIDO","SIGLA_PARTIDO","TIPO_LEGENDA","COMPOSICAO_LEGENDA","SEQUENCIA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","IDENTIFICADOR_LEGENDA","COLIGACAO","ID_LEGENDA","NUM_PARTIDOS_COLIGACAO","TOTAL_VOTOS_LEGENDA","TOTAL_VOTOS_NOMINAIS","TOTAL_VOTOS_LEGENDA_PARTIDO_ISOLADO","TOTAL_VOTOS_PARTIDO","TOTAL_NOMINAIS_LEGENDA","TOTAL_VOTOS_LISTA","RANK_LISTA","RANK_PARTIDO","DISTANCIA_PARA_ULTIMO_ELEITO_EM_VOTOS","ULTIMO_ELEITO","DISTANCIA_ABSOLUTA_PARA_ULTIMO_ELEITO_EM_VOTOS","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM","SHARE_CANDIDATO_LISTA","N_CADEIRAS_GANHAS_PARTIDO","N_CADEIRAS_GANHAS_COLIGACAO"
"1","0015578","2010","AC","AC","6513","06","MARIA PERPETUA DE ALMEIDA","ELEITO","65","PARTIDO COMUNISTA DO BRASIL","PC DO B","COLIGAÇÃO","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","FPA II",1,"024",14,18333,33235,0,33235,177914,196247,1,1,-15303,0,15303,NA,16.94,1,5
"2","0654288","2010","AC","AC","1122","06","GLADSON DE LIMA CAMELI","ELEITO","11","PARTIDO PROGRESSISTA","PP","COLIGAÇÃO","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","FPA II",1,"024",14,18333,32623,0,32623,177914,196247,2,1,-14691,0,14691,-612,16.62,1,5
"3","0000581","2010","AC","AC","1313","06","SEBASTIAO SIBA MACHADO OLIVEIRA","ELEITO","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","FPA II",1,"024",14,18333,25158,0,74571,177914,196247,3,1,-7226,0,7226,-7465,12.82,2,5
"4","0391689","2010","AC","AC","4325","06","HENRIQUE AFONSO SOARES LIMA","ELEITO","43","PARTIDO VERDE","PV","COLIGAÇÃO","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","FPA II",1,"024",14,18333,20306,0,22453,177914,196247,4,1,-2374,0,2374,-4852,10.35,1,5
"5","0391625","2010","AC","AC","1310","06","TAUMATURGO LIMA CORDEIRO","MÉDIA","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","FPA II",1,"024",14,18333,17932,0,74571,177914,196247,5,2,0,1,0,-2374,9.14,2,5
"6","0654236","2010","AC","AC","1331","06","LEONARDO CUNHA DE BRITO","SUPLENTE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","FPA II",1,"024",14,18333,13826,0,74571,177914,196247,6,3,4106,0,4106,-4106,7.05,2,5
"7","0391513","2010","AC","AC","1399","06","FERNANDO MELO DA COSTA","SUPLENTE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","FPA II",1,"024",14,18333,11018,0,74571,177914,196247,7,4,6914,0,6914,-2808,5.61,2,5
"8","0870528","2010","AC","AC","1333","06","IDESIO LUIS FRANKE","SUPLENTE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","FPA II",1,"024",14,18333,6481,0,74571,177914,196247,8,5,11451,0,11451,-4537,3.3,2,5
"9","0661769","2010","AC","AC","4444","06","GEHLEN DINIZ ANDRADE","SUPLENTE","44","PARTIDO REPUBLICANO PROGRESSISTA","PRP","COLIGAÇÃO","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","FPA II",1,"024",14,18333,2944,0,4337,177914,196247,9,1,14988,0,14988,-3537,1.5,0,5
"10","0870462","2010","AC","AC","1010","06","VALDEMIR JANUARIO DE ALMEIDA","SUPLENTE","10","PARTIDO REPUBLICANO BRASILEIRO","PRB","COLIGAÇÃO","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","FPA II",1,"024",14,18333,2530,0,2530,177914,196247,10,1,15402,0,15402,-414,1.29,0,5
