Ano da eleição,Agregação regional,UF,Cargo,Cadeiras disponíveis,Número efetivo de partidos eleitoral
1998,UF,AC,Deputado Federal,8,"4,63"
2002,UF,AC,Deputado Federal,8,"8,42"
2006,UF,AC,Deputado Federal,8,"8,62"
2010,UF,AC,Deputado Federal,8,"7,16"
2014,UF,AC,Deputado Federal,8,"11,72"
2018,UF,AC,Deputado Federal,8,"19,33"
2022,UF,AC,Deputado Federal,8,"9,70"
1998,UF,AL,Deputado Federal,9,"10,25"
2002,UF,AL,Deputado Federal,9,"9,52"
2006,UF,AL,Deputado Federal,9,"12,15"
2010,UF,AL,Deputado Federal,9,"7,99"
2014,UF,AL,Deputado Federal,9,"11,13"
2018,UF,AL,Deputado Federal,9,"15,39"
2022,UF,AL,Deputado Federal,9,"6,43"
1998,UF,AM,Deputado Federal,8,"4,60"
2002,UF,AM,Deputado Federal,8,"5,14"
2006,UF,AM,Deputado Federal,8,"9,94"
2010,UF,AM,Deputado Federal,8,"10,42"
2014,UF,AM,Deputado Federal,8,"10,39"
2018,UF,AM,Deputado Federal,8,"15,94"
2022,UF,AM,Deputado Federal,8,"8,10"
1998,UF,AP,Deputado Federal,8,"10,81"
2002,UF,AP,Deputado Federal,8,"10,19"
2006,UF,AP,Deputado Federal,8,"9,29"
2010,UF,AP,Deputado Federal,8,"12,54"
2014,UF,AP,Deputado Federal,8,"22,86"
2018,UF,AP,Deputado Federal,8,"31,48"
2022,UF,AP,Deputado Federal,8,"20,73"
1998,UF,BA,Deputado Federal,39,"3,78"
2002,UF,BA,Deputado Federal,39,"4,39"
2006,UF,BA,Deputado Federal,39,"5,60"
2010,UF,BA,Deputado Federal,39,"8,55"
2014,UF,BA,Deputado Federal,39,"11,46"
2018,UF,BA,Deputado Federal,39,"12,86"
2022,UF,BA,Deputado Federal,39,"10,34"
1998,UF,CE,Deputado Federal,22,"3,94"
2002,UF,CE,Deputado Federal,22,"5,81"
2006,UF,CE,Deputado Federal,22,"6,57"
2010,UF,CE,Deputado Federal,22,"8,32"
2014,UF,CE,Deputado Federal,22,"11,34"
2018,UF,CE,Deputado Federal,22,"11,54"
2022,UF,CE,Deputado Federal,22,"7,69"
1998,UF,DF,Deputado Federal,8,"7,12"
2002,UF,DF,Deputado Federal,8,"4,55"
2006,UF,DF,Deputado Federal,8,"7,24"
2010,UF,DF,Deputado Federal,8,"7,45"
2014,UF,DF,Deputado Federal,8,"16,47"
2018,UF,DF,Deputado Federal,8,"26,14"
2022,UF,DF,Deputado Federal,8,"10,27"
1998,UF,ES,Deputado Federal,10,"6,56"
2002,UF,ES,Deputado Federal,10,"10,77"
2006,UF,ES,Deputado Federal,10,"8,03"
2010,UF,ES,Deputado Federal,10,"8,80"
2014,UF,ES,Deputado Federal,10,"13,12"
2018,UF,ES,Deputado Federal,10,"16,37"
2022,UF,ES,Deputado Federal,10,"14,68"
1998,UF,GO,Deputado Federal,17,"4,02"
2002,UF,GO,Deputado Federal,17,"5,77"
2006,UF,GO,Deputado Federal,17,"6,79"
2010,UF,GO,Deputado Federal,17,"8,53"
2014,UF,GO,Deputado Federal,17,"7,19"
2018,UF,GO,Deputado Federal,17,"17,76"
2022,UF,GO,Deputado Federal,17,"12,92"
1998,UF,MA,Deputado Federal,18,"6,90"
2002,UF,MA,Deputado Federal,18,"6,53"
2006,UF,MA,Deputado Federal,18,"9,34"
2010,UF,MA,Deputado Federal,18,"9,72"
2014,UF,MA,Deputado Federal,18,"17,44"
2018,UF,MA,Deputado Federal,18,"20,35"
2022,UF,MA,Deputado Federal,18,"11,90"
1998,UF,MG,Deputado Federal,53,"7,24"
2002,UF,MG,Deputado Federal,53,"8,62"
2006,UF,MG,Deputado Federal,53,"10,49"
2010,UF,MG,Deputado Federal,53,"10,89"
2014,UF,MG,Deputado Federal,53,"11,99"
2018,UF,MG,Deputado Federal,53,"16,94"
2022,UF,MG,Deputado Federal,53,"10,71"
1998,UF,MS,Deputado Federal,8,"6,14"
2002,UF,MS,Deputado Federal,8,"6,62"
2006,UF,MS,Deputado Federal,8,"5,70"
2010,UF,MS,Deputado Federal,8,"6,16"
2014,UF,MS,Deputado Federal,8,"6,39"
2018,UF,MS,Deputado Federal,8,"10,02"
2022,UF,MS,Deputado Federal,8,"9,45"
1998,UF,MT,Deputado Federal,8,"4,66"
2002,UF,MT,Deputado Federal,8,"6,52"
2006,UF,MT,Deputado Federal,8,"8,74"
2010,UF,MT,Deputado Federal,8,"9,54"
2014,UF,MT,Deputado Federal,8,"13,60"
2018,UF,MT,Deputado Federal,8,"21,46"
2022,UF,MT,Deputado Federal,8,"10,74"
1998,UF,PA,Deputado Federal,17,"6,81"
2002,UF,PA,Deputado Federal,17,"6,18"
2006,UF,PA,Deputado Federal,17,"6,82"
2010,UF,PA,Deputado Federal,17,"6,93"
2014,UF,PA,Deputado Federal,17,"11,71"
2018,UF,PA,Deputado Federal,17,"15,59"
2022,UF,PA,Deputado Federal,17,"6,97"
1998,UF,PB,Deputado Federal,12,"4,40"
2002,UF,PB,Deputado Federal,12,"7,36"
2006,UF,PB,Deputado Federal,12,"6,59"
2010,UF,PB,Deputado Federal,12,"6,15"
2014,UF,PB,Deputado Federal,12,"10,51"
2018,UF,PB,Deputado Federal,12,"16,40"
2022,UF,PB,Deputado Federal,12,"7,56"
