Ano da eleição,Agregação regional,UF,Cargo,Cadeiras disponíveis,Número efetivo de partidos legislativo
1998,UF,AC,Deputado Federal,8,"4,00"
2002,UF,AC,Deputado Federal,8,"4,00"
2006,UF,AC,Deputado Federal,8,"4,57"
2010,UF,AC,Deputado Federal,8,"6,40"
2014,UF,AC,Deputado Federal,8,"4,00"
2018,UF,AC,Deputado Federal,8,"6,40"
2022,UF,AC,Deputado Federal,8,"2,91"
1998,UF,AL,Deputado Federal,9,"7,36"
2002,UF,AL,Deputado Federal,9,"5,40"
2006,UF,AL,Deputado Federal,9,"4,76"
2010,UF,AL,Deputado Federal,9,"6,23"
2014,UF,AL,Deputado Federal,9,"9,00"
2018,UF,AL,Deputado Federal,9,"9,00"
2022,UF,AL,Deputado Federal,9,"3,52"
1998,UF,AM,Deputado Federal,8,"3,20"
2002,UF,AM,Deputado Federal,8,"3,20"
2006,UF,AM,Deputado Federal,8,"6,40"
2010,UF,AM,Deputado Federal,8,"6,40"
2014,UF,AM,Deputado Federal,8,"6,40"
2018,UF,AM,Deputado Federal,8,"6,40"
2022,UF,AM,Deputado Federal,8,"4,57"
1998,UF,AP,Deputado Federal,8,"4,00"
2002,UF,AP,Deputado Federal,8,"5,33"
2006,UF,AP,Deputado Federal,8,"6,40"
2010,UF,AP,Deputado Federal,8,"8,00"
2014,UF,AP,Deputado Federal,8,"8,00"
2018,UF,AP,Deputado Federal,8,"8,00"
2022,UF,AP,Deputado Federal,8,"2,91"
1998,UF,BA,Deputado Federal,39,"3,20"
2002,UF,BA,Deputado Federal,39,"3,50"
2006,UF,BA,Deputado Federal,39,"5,53"
2010,UF,BA,Deputado Federal,39,"7,57"
2014,UF,BA,Deputado Federal,39,"10,35"
2018,UF,BA,Deputado Federal,39,"10,94"
2022,UF,BA,Deputado Federal,39,"9,00"
1998,UF,CE,Deputado Federal,22,"2,78"
2002,UF,CE,Deputado Federal,22,"4,65"
2006,UF,CE,Deputado Federal,22,"5,50"
2010,UF,CE,Deputado Federal,22,"6,72"
2014,UF,CE,Deputado Federal,22,"10,08"
2018,UF,CE,Deputado Federal,22,"8,07"
2022,UF,CE,Deputado Federal,22,"5,63"
1998,UF,DF,Deputado Federal,8,"5,33"
2002,UF,DF,Deputado Federal,8,"4,00"
2006,UF,DF,Deputado Federal,8,"5,33"
2010,UF,DF,Deputado Federal,8,"4,00"
2014,UF,DF,Deputado Federal,8,"8,00"
2018,UF,DF,Deputado Federal,8,"8,00"
2022,UF,DF,Deputado Federal,8,"4,00"
1998,UF,ES,Deputado Federal,10,"4,55"
2002,UF,ES,Deputado Federal,10,"7,14"
2006,UF,ES,Deputado Federal,10,"4,17"
2010,UF,ES,Deputado Federal,10,"5,00"
2014,UF,ES,Deputado Federal,10,"8,33"
2018,UF,ES,Deputado Federal,10,"8,33"
2022,UF,ES,Deputado Federal,10,"5,56"
1998,UF,GO,Deputado Federal,17,"3,66"
2002,UF,GO,Deputado Federal,17,"4,59"
2006,UF,GO,Deputado Federal,17,"5,25"
2010,UF,GO,Deputado Federal,17,"6,72"
2014,UF,GO,Deputado Federal,17,"5,67"
2018,UF,GO,Deputado Federal,17,"12,57"
2022,UF,GO,Deputado Federal,17,"7,81"
