"","UF","ID_LEGENDA","ID_CEPESP","ANO_ELEICAO","SIGLA_UE","NUMERO_CANDIDATO","CODIGO_CARGO","NOME_CANDIDATO","DES_SITUACAO_CANDIDATURA","COD_SIT_TOT_TURNO","DESC_SIT_TOT_TURNO","COD_SITUACAO_CANDIDATO_TOT","DES_SITUACAO_CANDIDATO_TOT","NUMERO_PARTIDO","NOME_PARTIDO","SIGLA_PARTIDO","TIPO_LEGENDA","CODIGO_LEGENDA","SIGLA_LEGENDA","COMPOSICAO_LEGENDA","SEQUENCIA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","QTDE_VOTOS","QTDE_VOTO_NOMINAL","QTDE_VOTO_LEGENDA","IDENTIFICADOR_LEGENDA","COLIGACAO","NUM_PARTIDOS_COLIGACAO","TOTAL_VOTOS_LEGENDA","TOTAL_VOTOS_NOMINAIS","TOTAL_VOTOS_LEGENDA_PARTIDO_ISOLADO","TOTAL_VOTOS_PARTIDO","TOTAL_NOMINAIS_LEGENDA","TOTAL_VOTOS_LISTA","RANK_LISTA","RANK_PARTIDO","DISTANCIA_PARA_ULTIMO_ELEITO_EM_VOTOS","ULTIMO_ELEITO","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_LISTA","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_PARTIDO","SHARE_CANDIDATO_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_PARTIDO","QUEBRA_MAXIMA","N_COMPETIDORES_LISTA","N_COMPETIDORES_PARTIDO","N_TOTAL_COMPETIDORES_DISTRITO"
"1","AC","074","0391759","2002","AC","4060","06","JONAS FRANCISCO DA COSTA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","5","5","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,7317,0,18828,19004,20152,1,1,-7191,0,NA,NA,36.31,NA,NA,NA,13,12,69
"2","AC","074","0391747","2002","AC","2055","06","EDIMILSON RIPARDO MAIA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","20","PARTIDO SOCIAL CRISTÃO","PSC","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","1","1","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,176,0,176,19004,20152,11,1,-50,0,-56,-7141,0.87,56,7141,0,13,1,69
"3","AC","074","0391757","2002","AC","4012","06","ANTONIO JOSÉ DA SILVA SANTANA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","5","5","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,3710,0,18828,19004,20152,2,2,-3584,0,-3607,3534,18.41,3607,3534,1,13,12,69
"4","AC","074","0391520","2002","AC","4021","06","LUIZ AMÉRICO FIGUEIREDO","DEFERIDO","4","NÃO ELEITO","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","4","4","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,3314,0,18828,19004,20152,3,3,-3188,0,-396,-396,16.45,396,396,0,13,12,69
"5","AC","074","0391762","2002","AC","4000","06","HERLÂNDIO MARQUES DE ARAÚJO","DEFERIDO","4","NÃO ELEITO","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","14","14","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,1906,0,18828,19004,20152,4,4,-1780,0,-1408,-1408,9.46,1408,1408,0,13,12,69
"6","AC","074","0391516","2002","AC","4040","06","VALTEMIR EVANGELISTA DE SOUZA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","1","1","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,489,0,18828,19004,20152,5,5,-363,0,-1417,-1417,2.43,1417,1417,0,13,12,69
"7","AC","074","0391654","2002","AC","4044","06","ALCIDES BENTO DE AZEVEDO","DEFERIDO","4","NÃO ELEITO","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","1","1","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,408,0,18828,19004,20152,6,6,-282,0,-81,-81,2.02,81,81,0,13,12,69
"8","AC","074","0391666","2002","AC","4045","06","FRANCISCO DE OLIVEIRA LOPES","DEFERIDO","4","NÃO ELEITO","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","2","2","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,402,0,18828,19004,20152,7,7,-276,0,-6,-6,1.99,6,6,0,13,12,69
"9","AC","074","0391635","2002","AC","4090","06","DEUSIMAR PINHEIRO DA SILVA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","1","1","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,395,0,18828,19004,20152,8,8,-269,0,-7,-7,1.96,7,7,0,13,12,69
"10","AC","074","0391706","2002","AC","4080","06","MARISA MAIA DAS NEVES","DEFERIDO","4","NÃO ELEITO","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","1","1","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,374,0,18828,19004,20152,9,9,-248,0,-21,-21,1.86,21,21,0,13,12,69
"11","AC","074","0015363","2002","AC","4010","06","SANDRO BARBOZA CAVALCANTE","DEFERIDO","4","NÃO ELEITO","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","1","1","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,232,0,18828,19004,20152,10,10,-106,0,-142,-142,1.15,142,142,0,13,12,69
"12","AC","074","0391748","2002","AC","4070","06","FRANK APRÍGIO DE FIGUEIREDO","DEFERIDO","4","NÃO ELEITO","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","1","1","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,155,0,18828,19004,20152,12,11,-29,0,-21,-77,0.77,21,77,0,13,12,69
"13","AC","074","0391580","2002","AC","4011","06","NELCIENE ALVES DE MOURA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","19","#NE","PSB / PSC","190000000000","FÉ E UNIDADE SOCIALISTA ACREANA","PSB / PSC","1","1","0","FÉ E UNIDADE SOCIALISTA ACREANA",1,2,1148,126,0,18828,19004,20152,13,12,0,1,-29,-29,0.63,29,29,0,13,12,69
"14","AC","086","0015578","2002","AC","6513","06","MARIA PERPÉTUA DE ALMEIDA","DEFERIDO","1","ELEITO","#NE","#NE","65","PARTIDO COMUNISTA DO BRASIL","PC DO B","COLIGAÇÃO","10","#NE","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","100000000000","FRENTE POPULAR DO ACRE - FPA","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","33","33","0","FRENTE POPULAR DO ACRE - FPA",1,7,11666,21930,0,21930,104627,116293,1,1,-21876,0,NA,NA,18.86,NA,NA,NA,18,1,69
"15","AC","086","0000695","2002","AC","1313","06","NILSON MOURA LEITE MOURÃO","DEFERIDO","1","ELEITO","#NE","#NE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","10","#NE","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","100000000000","FRENTE POPULAR DO ACRE - FPA","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","25","25","0","FRENTE POPULAR DO ACRE - FPA",1,7,11666,17720,0,63143,104627,116293,2,1,-17666,0,-4210,-4210,15.24,4210,4210,0,18,10,69
"16","AC","086","0391631","2002","AC","4321","06","JULIO EDUARDO GOMES PEREIRA","DEFERIDO","2","SUPLENTE","#NE","#NE","43","PARTIDO VERDE","PV","COLIGAÇÃO","10","#NE","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","100000000000","FRENTE POPULAR DO ACRE - FPA","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","2","2","0","FRENTE POPULAR DO ACRE - FPA",1,7,11666,7182,0,7182,104627,116293,6,1,-7128,0,-2924,-10538,6.18,2924,10538,0,18,1,69
"17","AC","086","0391612","2002","AC","3313","06","JOSÉ ADRIANO RIBEIRO DA SILVA","DEFERIDO","2","SUPLENTE","#NE","#NE","33","PARTIDO DA MOBILIZAÇÃO NACIONAL","PMN","COLIGAÇÃO","10","#NE","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","100000000000","FRENTE POPULAR DO ACRE - FPA","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","5","5","0","FRENTE POPULAR DO ACRE - FPA",1,7,11666,4375,0,9109,104627,116293,8,1,-4321,0,-1269,-2807,3.76,1269,2807,0,18,3,69
"18","AC","086","0000510","2002","AC","2233","06","AURELIANO  PASCOAL DUARTE PINHEIRO NETO","SUB JUDICE","2","SUPLENTE","#NE","#NE","22","PARTIDO LIBERAL","PL","COLIGAÇÃO","10","#NE","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","100000000000","FRENTE POPULAR DO ACRE - FPA","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","2","2","0","FRENTE POPULAR DO ACRE - FPA",1,7,11666,3125,0,3263,104627,116293,12,1,-3071,0,-466,-1250,2.69,466,1250,0,18,3,69
"19","AC","086","0391689","2002","AC","1345","06","HENRIQUE AFONSO SOARES LIMA","DEFERIDO","1","ELEITO","#NE","#NE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","10","#NE","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","100000000000","FRENTE POPULAR DO ACRE - FPA","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","1","1","0","FRENTE POPULAR DO ACRE - FPA",1,7,11666,10290,0,63143,104627,116293,3,2,-10236,0,-7430,7165,8.85,7430,7165,1,18,10,69
"20","AC","086","0391664","2002","AC","3333","06","CARLOS ROBERTO DE OLIVEIRA","DEFERIDO","2","SUPLENTE","#NE","#NE","33","PARTIDO DA MOBILIZAÇÃO NACIONAL","PMN","COLIGAÇÃO","10","#NE","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","100000000000","FRENTE POPULAR DO ACRE - FPA","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","3","3","0","FRENTE POPULAR DO ACRE - FPA",1,7,11666,3878,0,9109,104627,116293,10,2,-3824,0,-181,-6412,3.33,181,6412,0,18,3,69
"21","AC","086","0016352","2002","AC","2211","06","ALECI ALVES DA SILVA","DEFERIDO","2","SUPLENTE","#NE","#NE","22","PARTIDO LIBERAL","PL","COLIGAÇÃO","10","#NE","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","100000000000","FRENTE POPULAR DO ACRE - FPA","PT / PV / PT DO B / PMN / PC DO B / PL / PSDC","1","1","0","FRENTE POPULAR DO ACRE - FPA",1,7,11666,84,0,3263,104627,116293,17,2,-30,0,-70,-3794,0.07,70,3794,0,18,3,69
