"","UF","ID_LEGENDA","ID_CEPESP","ANO_ELEICAO","SIGLA_UE","NUMERO_CANDIDATO","CODIGO_CARGO","NOME_CANDIDATO","DES_SITUACAO_CANDIDATURA","COD_SIT_TOT_TURNO","DESC_SIT_TOT_TURNO","COD_SITUACAO_CANDIDATO_TOT","DES_SITUACAO_CANDIDATO_TOT","NUMERO_PARTIDO","NOME_PARTIDO","SIGLA_PARTIDO","TIPO_LEGENDA","CODIGO_LEGENDA","SIGLA_LEGENDA","COMPOSICAO_LEGENDA","SEQUENCIA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","QTDE_VOTOS","QTDE_VOTO_NOMINAL","QTDE_VOTO_LEGENDA","IDENTIFICADOR_LEGENDA","COLIGACAO","NUM_PARTIDOS_COLIGACAO","TOTAL_VOTOS_LEGENDA","TOTAL_VOTOS_NOMINAIS","TOTAL_VOTOS_LEGENDA_PARTIDO_ISOLADO","TOTAL_VOTOS_PARTIDO","TOTAL_NOMINAIS_LEGENDA","TOTAL_VOTOS_LISTA","RANK_LISTA","RANK_PARTIDO","DISTANCIA_PARA_ULTIMO_ELEITO_EM_VOTOS","ULTIMO_ELEITO","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_LISTA","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_PARTIDO","SHARE_CANDIDATO_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_PARTIDO","QUEBRA_MÁXIMA","N_COMPETIDORES_LISTA","N_COMPETIDORES_PARTIDO","N_TOTAL_COMPETIDORES_DISTRITO"
"1","AC","013","0870590","2014","AC","4545","06","WHERLES FERNANDES DA ROCHA","DEFERIDO","2","ELEITO POR QP","#NE","#NE","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","COLIGAÇÃO","10000000036","#NE","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","10","10","0","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,10,11955,23466,0,33239,151845,163800,1,1,-23280,0,NA,NA,14.33,NA,NA,NA,23,5,62
"2","AC","013","1166784","2014","AC","1515","06","JÉSSICA ROJAS SALES","DEFERIDO","2","ELEITO POR QP","#NE","#NE","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","10000000036","#NE","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","1","1","0","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,10,11955,20339,0,38711,151845,163800,2,1,-20153,0,-3127,-3127,12.42,3127,3127,0,23,2,62
"3","AC","013","1166990","2014","AC","5533","06","MARFIZA DE LIMA GALVÃO","DEFERIDO","5","SUPLENTE","#NE","#NE","55","PARTIDO SOCIAL DEMOCRÁTICO","PSD","COLIGAÇÃO","10000000036","#NE","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","1","1","0","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,10,11955,17300,0,18706,151845,163800,4,1,-17114,0,-1072,-3039,10.56,1072,3039,0,23,4,62
"4","AC","013","1166869","2014","AC","1144","06","VANDA DENIR MILANI NOGUEIRA","DEFERIDO","5","SUPLENTE","#NE","#NE","11","PARTIDO PROGRESSISTA","PP","COLIGAÇÃO","10000000036","#NE","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","33","33","0","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,10,11955,13610,0,25929,151845,163800,5,1,-13424,0,-3690,-3690,8.31,3690,3690,0,23,6,62
"5","AC","013","0400360","2014","AC","2222","06","ILDERLEI SOUZA RODRIGUES CORDEIRO","DEFERIDO","5","SUPLENTE","#NE","#NE","22","PARTIDO DA REPÚBLICA","PR","COLIGAÇÃO","10000000036","#NE","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","1","1","0","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,10,11955,13431,0,13431,151845,163800,6,1,-13245,0,-179,-179,8.2,179,179,0,23,1,62
"6","AC","013","0391645","2014","AC","2020","06","ANTÔNIA LUCILEIA CRUZ RAMOS CÂMARA","DEFERIDO","5","SUPLENTE","#NE","#NE","20","PARTIDO SOCIAL CRISTÃO","PSC","COLIGAÇÃO","10000000036","#NE","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","7","7","0","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,10,11955,12126,0,12126,151845,163800,7,1,-11940,0,-1305,-1305,7.4,1305,1305,0,23,1,62
"7","AC","013","0400550","2014","AC","7777","06","LUIZ ANUTE DOS SANTOS","DEFERIDO","5","SUPLENTE","#NE","#NE","77","SOLIDARIEDADE","SD","COLIGAÇÃO","10000000036","#NE","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","1","1","0","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,10,11955,4717,0,4717,151845,163800,9,1,-4531,0,-1990,-7409,2.88,1990,7409,0,23,1,62
"8","AC","013","0391621","2014","AC","2323","06","DEODATO NUNES DE FRANÇA","DEFERIDO","5","SUPLENTE","#NE","#NE","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","10000000036","#NE","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","3","3","0","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,10,11955,3487,0,3487,151845,163800,12,1,-3301,0,-617,-1230,2.13,617,1230,0,23,1,62
"9","AC","013","0662103","2014","AC","7070","06","FRANCISCO CARLOS OLIVEIRA DA CRUZ","DEFERIDO","5","SUPLENTE","#NE","#NE","70","PARTIDO TRABALHISTA DO BRASIL","PT DO B","COLIGAÇÃO","10000000036","#NE","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","1","1","0","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,10,11955,1154,0,1499,151845,163800,15,1,-968,0,-1200,-2333,0.7,1200,2333,0,23,2,62
"10","AC","013","0000729","2014","AC","1555","06","FLAVIANO FLÁVIO BAPTISTA DE MELO","DEFERIDO","2","ELEITO POR QP","#NE","#NE","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","10000000036","#NE","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","5","5","0","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,10,11955,18372,0,38711,151845,163800,3,2,-18186,0,-1967,17218,11.22,1967,17218,0,23,2,62
