"","UF","ID_LEGENDA","ID_CEPESP","ANO_ELEICAO","SIGLA_UE","NUMERO_CANDIDATO","CODIGO_CARGO","NOME_CANDIDATO","DES_SITUACAO_CANDIDATURA","COD_SIT_TOT_TURNO","DESC_SIT_TOT_TURNO","COD_SITUACAO_CANDIDATO_TOT","DES_SITUACAO_CANDIDATO_TOT","NUMERO_PARTIDO","NOME_PARTIDO","SIGLA_PARTIDO","TIPO_LEGENDA","CODIGO_LEGENDA","SIGLA_LEGENDA","COMPOSICAO_LEGENDA","SEQUENCIA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","QTDE_VOTOS","QTDE_VOTO_NOMINAL","QTDE_VOTO_LEGENDA","IDENTIFICADOR_LEGENDA","COLIGACAO","NUM_PARTIDOS_COLIGACAO","TOTAL_VOTOS_LEGENDA","TOTAL_VOTOS_NOMINAIS","TOTAL_VOTOS_LEGENDA_PARTIDO_ISOLADO","TOTAL_VOTOS_PARTIDO","TOTAL_NOMINAIS_LEGENDA","TOTAL_VOTOS_LISTA","RANK_LISTA","RANK_PARTIDO","DISTANCIA_PARA_ULTIMO_ELEITO_EM_VOTOS","ULTIMO_ELEITO","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_LISTA","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_PARTIDO","SHARE_CANDIDATO_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_PARTIDO","QUEBRA_MAXIMA_LISTA","QUEBRA_MAXIMA_PARTIDO","N_COMPETIDORES_LISTA","N_COMPETIDORES_PARTIDO","N_TOTAL_COMPETIDORES_DISTRITO"
"1","AC","020","0000470","2022","AC","4500","06","MINORU MARTINS KINPARA","DEFERIDO","4","NÃO ELEITO","2","DEFERIDO","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","FEDERAÇÃO","10001685192","#NE","PSDB/CIDADANIA","100016851920","#NULO","PSDB/CIDADANIA","16","16","0","PSDB/CIDADANIA",1,2,0,19077,0,32696,4796318,4796318,1,1,-18958,0,NA,NA,0.4,NA,NA,NA,NA,9,7,134
"2","AC","020","1462949","2022","AC","2345","06","CARLOS LEANDRO DA COSTA SOUSA","DEFERIDO","4","NÃO ELEITO","2","DEFERIDO","23","CIDADANIA","CIDADANIA","FEDERAÇÃO","10001685192","#NE","PSDB/CIDADANIA","100016851920","#NULO","PSDB/CIDADANIA","15","15","0","PSDB/CIDADANIA",1,2,0,273,0,392,4796318,4796318,7,1,-154,0,-336,-18804,0.01,336,18804,0,1,9,2,134
"3","AC","020","1800371","2022","AC","4555","06","LANNA CARMEN VAZ DE ARAUJO","DEFERIDO","4","NÃO ELEITO","2","DEFERIDO","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","FEDERAÇÃO","10001685192","#NE","PSDB/CIDADANIA","100016851920","#NULO","PSDB/CIDADANIA","1","1","0","PSDB/CIDADANIA",1,2,0,4711,0,32696,4796318,4796318,2,2,-4592,0,-14366,4438,0.1,14366,4438,1,1,9,7,134
"4","AC","020","1476772","2022","AC","2323","06","MARIA ODETE OLIVEIRA DA CONCEIÇÃO SAMPAIO","DEFERIDO","4","NÃO ELEITO","2","DEFERIDO","23","CIDADANIA","CIDADANIA","FEDERAÇÃO","10001685192","#NE","PSDB/CIDADANIA","100016851920","#NULO","PSDB/CIDADANIA","2","2","0","PSDB/CIDADANIA",1,2,0,119,0,392,4796318,4796318,9,2,0,1,-134,-4592,0,134,4592,0,0,9,2,134
"5","AC","020","0000571","2022","AC","4511","06","NORMANDO RODRIGUES SALES","DEFERIDO","4","NÃO ELEITO","2","DEFERIDO","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","FEDERAÇÃO","10001685192","#NE","PSDB/CIDADANIA","100016851920","#NULO","PSDB/CIDADANIA","2","2","0","PSDB/CIDADANIA",1,2,0,3887,0,32696,4796318,4796318,3,3,-3768,0,-824,3768,0.08,824,3768,0,0,9,7,134
"6","AC","020","0000629","2022","AC","4545","06","SÉRGIO SEBASTIÃO DE BARROS","DEFERIDO","4","NÃO ELEITO","2","DEFERIDO","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","FEDERAÇÃO","10001685192","#NE","PSDB/CIDADANIA","100016851920","#NULO","PSDB/CIDADANIA","1","1","0","PSDB/CIDADANIA",1,2,0,3491,0,32696,4796318,4796318,4,4,-3372,0,-396,-396,0.07,396,396,0,0,9,7,134
"7","AC","020","1800347","2022","AC","4522","06","JOÃO RICARDO PERES LEORNE","DEFERIDO","4","NÃO ELEITO","2","DEFERIDO","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","FEDERAÇÃO","10001685192","#NE","PSDB/CIDADANIA","100016851920","#NULO","PSDB/CIDADANIA","1","1","0","PSDB/CIDADANIA",1,2,0,668,0,32696,4796318,4796318,5,5,-549,0,-2823,-2823,0.01,2823,2823,0,0,9,7,134
"8","AC","020","1178423","2022","AC","4533","06","JOSÉ MANOEL DOS SANTOS","DEFERIDO","4","NÃO ELEITO","2","DEFERIDO","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","FEDERAÇÃO","10001685192","#NE","PSDB/CIDADANIA","100016851920","#NULO","PSDB/CIDADANIA","1","1","0","PSDB/CIDADANIA",1,2,0,609,0,32696,4796318,4796318,6,6,-490,0,-59,-59,0.01,59,59,0,0,9,7,134
"9","AC","020","1476825","2022","AC","4515","06","MARCIA MARIA SOUZA DA SILVA","DEFERIDO","4","NÃO ELEITO","2","DEFERIDO","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","FEDERAÇÃO","10001685192","#NE","PSDB/CIDADANIA","100016851920","#NULO","PSDB/CIDADANIA","1","1","0","PSDB/CIDADANIA",1,2,0,253,0,32696,4796318,4796318,8,7,-134,0,-20,-356,0.01,20,356,0,0,9,7,134
"10","AC","021","1800397","2022","AC","1818","06","NINAWA INU PEREIRA NUNES HUNI KUI","DEFERIDO","4","NÃO ELEITO","2","DEFERIDO","18","REDE SUSTENTABILIDADE","REDE","FEDERAÇÃO","10001680825","#NE","PSOL/REDE","100016808250","#NULO","PSOL/REDE","1","1","0","PSOL/REDE",1,2,0,2794,0,2901,4551597,4551597,1,1,-2761,0,NA,NA,0.06,NA,NA,NA,NA,9,2,134
