"DT_GERACAO","HH_GERACAO","SG_UF","SG_UE","CD_CARGO","NM_UE","DS_CARGO","VAGAS_1998","VAGAS_2002","VAGAS_2006","VAGAS_2010","VAGAS_2014","VAGAS_2018","VAGAS_2022"
"25/05/2021","16:24:06","AC","AC",6,"ACRE","Deputado Federal",8,8,8,8,8,8,8
"25/05/2021","16:24:06","AL","AL",6,"ALAGOAS","Deputado Federal",9,9,9,9,9,9,9
"25/05/2021","16:24:06","AM","AM",6,"AMAZONAS","Deputado Federal",8,8,8,8,8,8,8
"25/05/2021","16:24:06","AP","AP",6,"AMAPÁ","Deputado Federal",8,8,8,8,8,8,8
"25/05/2021","16:24:06","BA","BA",6,"BAHIA","Deputado Federal",39,39,39,39,39,39,39
"25/05/2021","16:24:06","CE","CE",6,"CEARÁ","Deputado Federal",22,22,22,22,22,22,22
"25/05/2021","16:24:06","DF","DF",6,"DISTRITO FEDERAL","Deputado Federal",8,8,8,8,8,8,8
"25/05/2021","16:24:06","ES","ES",6,"ESPÍRITO SANTO","Deputado Federal",10,10,10,10,10,10,10
"25/05/2021","16:24:06","GO","GO",6,"GOIÁS","Deputado Federal",17,17,17,17,17,17,17
"25/05/2021","16:24:06","MA","MA",6,"MARANHÃO","Deputado Federal",18,18,18,18,18,18,18
"25/05/2021","16:24:06","MG","MG",6,"MINAS GERAIS","Deputado Federal",53,53,53,53,53,53,53
"25/05/2021","16:24:06","MS","MS",6,"MATO GROSSO DO SUL","Deputado Federal",8,8,8,8,8,8,8
"25/05/2021","16:24:06","MT","MT",6,"MATO GROSSO","Deputado Federal",8,8,8,8,8,8,8
"25/05/2021","16:24:06","PA","PA",6,"PARÁ","Deputado Federal",17,17,17,17,17,17,17
"25/05/2021","16:24:06","PB","PB",6,"PARAÍBA","Deputado Federal",12,12,12,12,12,12,12
"25/05/2021","16:24:06","PE","PE",6,"PERNAMBUCO","Deputado Federal",25,25,25,25,25,25,25
"25/05/2021","16:24:06","PI","PI",6,"PIAUÍ","Deputado Federal",10,10,10,10,10,10,10
"25/05/2021","16:24:06","PR","PR",6,"PARANÁ","Deputado Federal",30,30,30,30,30,30,30
"25/05/2021","16:24:06","RJ","RJ",6,"RIO DE JANEIRO","Deputado Federal",46,46,46,46,46,46,46
"25/05/2021","16:24:06","RN","RN",6,"RIO GRANDE DO NORTE","Deputado Federal",8,8,8,8,8,8,8
"25/05/2021","16:24:06","RO","RO",6,"RONDÔNIA","Deputado Federal",8,8,8,8,8,8,8
"25/05/2021","16:24:06","RR","RR",6,"RORAIMA","Deputado Federal",8,8,8,8,8,8,8
"25/05/2021","16:24:06","RS","RS",6,"RIO GRANDE DO SUL","Deputado Federal",31,31,31,31,31,31,31
"25/05/2021","16:24:06","SC","SC",6,"SANTA CATARINA","Deputado Federal",16,16,16,16,16,16,16
"25/05/2021","16:24:06","SE","SE",6,"SERGIPE","Deputado Federal",8,8,8,8,8,8,8
"25/05/2021","16:24:06","SP","SP",6,"SÃO PAULO","Deputado Federal",70,70,70,70,70,70,70
"25/05/2021","16:24:06","TO","TO",6,"TOCANTINS","Deputado Federal",8,8,8,8,8,8,8
